DATE,BCNSDODNS
1945-10-01,44.653
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,49.889
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,56.78
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,62.811
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,64.394
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,70.439
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,78.868
1952-01-01,79.983
1952-04-01,81.411
1952-07-01,83.193
1952-10-01,85.098
1953-01-01,86.711
1953-04-01,87.961
1953-07-01,89.017
1953-10-01,89.252
1954-01-01,90.351
1954-04-01,90.725
1954-07-01,91.873
1954-10-01,92.843
1955-01-01,93.897
1955-04-01,95.914
1955-07-01,97.63
1955-10-01,101.216
1956-01-01,103.79
1956-04-01,106.47
1956-07-01,108.573
1956-10-01,110.961
1957-01-01,113.755
1957-04-01,116.775
1957-07-01,118.733
1957-10-01,120.632
1958-01-01,122.618
1958-04-01,123.711
1958-07-01,125.3
1958-10-01,127.965
1959-01-01,129.227
1959-04-01,132.391
1959-07-01,134.054
1959-10-01,136.645
1960-01-01,139.269
1960-04-01,141.908
1960-07-01,143.163
1960-10-01,145.592
1961-01-01,146.194
1961-04-01,148.192
1961-07-01,149.68
1961-10-01,152.987
1962-01-01,154.533
1962-04-01,157.69
1962-07-01,160.11
1962-10-01,163.466
1963-01-01,165.589
1963-04-01,167.94
1963-07-01,170.148
1963-10-01,174.184
1964-01-01,176.585
1964-04-01,179.976
1964-07-01,183.446
1964-10-01,187.925
1965-01-01,193.186
1965-04-01,197.972
1965-07-01,202.867
1965-10-01,208.193
1966-01-01,214.562
1966-04-01,222.357
1966-07-01,228.547
1966-10-01,232.924
1967-01-01,239.687
1967-04-01,246.045
1967-07-01,251.64
1967-10-01,255.245
1968-01-01,263.575
1968-04-01,270.242
1968-07-01,277.803
1968-10-01,286.074
1969-01-01,294.256
1969-04-01,303.762
1969-07-01,312.057
1969-10-01,318.879
1970-01-01,338.845
1970-04-01,349.44
1970-07-01,357.036
1970-10-01,363.384
1971-01-01,370.45
1971-04-01,378.234
1971-07-01,386.805
1971-10-01,392.236
1972-01-01,403.333
1972-04-01,411.26
1972-07-01,420.54
1972-10-01,431.815
1973-01-01,446.413
1973-04-01,461.449
1973-07-01,481.202
1973-10-01,497.437
1974-01-01,512.155
1974-04-01,529.291
1974-07-01,541.863
1974-10-01,553.066
1975-01-01,558.834
1975-04-01,562.445
1975-07-01,568.024
1975-10-01,572.665
1976-01-01,577.948
1976-04-01,588.825
1976-07-01,600.862
1976-10-01,614.346
1977-01-01,632.3
1977-04-01,648.519
1977-07-01,665.925
1977-10-01,690.322
1978-01-01,710.785
1978-04-01,731.047
1978-07-01,745.665
1978-10-01,766.056
1979-01-01,789.844
1979-04-01,811.542
1979-07-01,833.769
1979-10-01,851.772
1980-01-01,873.559
1980-04-01,880.652
1980-07-01,892.677
1980-10-01,919.612
1981-01-01,935.22
1981-04-01,976.52
1981-07-01,1014.381
1981-10-01,1038.68
1982-01-01,1067.949
1982-04-01,1098.089
1982-07-01,1124.827
1982-10-01,1129.934
1983-01-01,1161.482
1983-04-01,1185.231
1983-07-01,1217.535
1983-10-01,1247.243
1984-01-01,1295.249
1984-04-01,1352.745
1984-07-01,1400.349
1984-10-01,1457.968
1985-01-01,1489.462
1985-04-01,1529.106
1985-07-01,1572.17
1985-10-01,1638.943
1986-01-01,1683.411
1986-04-01,1737.156
1986-07-01,1797.227
1986-10-01,1864.487
1987-01-01,1908.814
1987-04-01,1948.373
1987-07-01,1999.842
1987-10-01,2051.545
1988-01-01,2100.786
1988-04-01,2155.21
1988-07-01,2196.461
1988-10-01,2265.205
1989-01-01,2318.457
1989-04-01,2377.544
1989-07-01,2405.997
1989-10-01,2455.221
1990-01-01,2502.902
1990-04-01,2539.035
1990-07-01,2565.707
1990-10-01,2585.389
1991-01-01,2566.605
1991-04-01,2566.563
1991-07-01,2552.199
1991-10-01,2526.64
1992-01-01,2533.028
1992-04-01,2533.896
1992-07-01,2544.135
1992-10-01,2545.0
1993-01-01,2571.565
1993-04-01,2609.706
1993-07-01,2651.018
1993-10-01,2690.672
