DATE,COMREPUSQ159N
2005-01-01,15.891
2005-04-01,12.895
2005-07-01,10.018
2005-10-01,11.886
2006-01-01,14.128
2006-04-01,15.272
2006-07-01,15.237
2006-10-01,11.913
2007-01-01,13.057
2007-04-01,12.141
2007-07-01,11.404
2007-10-01,10.557
2008-01-01,1.472
2008-04-01,-6.228
2008-07-01,-6.573
2008-10-01,-11.217
2009-01-01,-9.729
2009-04-01,-19.616
2009-07-01,-29.747
2009-10-01,-28.142
2010-01-01,-27.541
2010-04-01,-7.133
2010-07-01,3.925
2010-10-01,7.364
2011-01-01,13.159
2011-04-01,3.127
2011-07-01,1.299
2011-10-01,4.645
2012-01-01,4.409
2012-04-01,3.441
2012-07-01,7.049
2012-10-01,3.953
2013-01-01,3.059
2013-04-01,9.209
2013-07-01,13.509
2013-10-01,14.443
2014-01-01,10.772
2014-04-01,8.567
2014-07-01,5.824
2014-10-01,6.131
2015-01-01,14.157
2015-04-01,13.242
2015-07-01,10.942
2015-10-01,8.467
2016-01-01,0.796
2016-04-01,-0.018
2016-07-01,4.143
2016-10-01,5.033
2017-01-01,4.559
2017-04-01,6.903
2017-07-01,3.682
2017-10-01,6.284
2018-01-01,6.969
2018-04-01,7.811
2018-07-01,3.463
2018-10-01,-0.25
2019-01-01,4.438
2019-04-01,4.684
2019-07-01,9.495
2019-10-01,7.807
2020-01-01,5.48
2020-04-01,1.934
2020-07-01,-0.754
2020-10-01,5.45
2021-01-01,4.847
2021-04-01,7.521
2021-07-01,13.24
2021-10-01,13.628
2022-01-01,13.993
2022-04-01,8.504
