DATE,NFCI
1971-01-08,0.56137
1971-01-15,0.60987
1971-01-22,0.66888
1971-01-29,0.73282
1971-02-05,0.79737
1971-02-12,0.85620
1971-02-19,0.90513
1971-02-26,0.94265
1971-03-05,0.97067
1971-03-12,0.99266
1971-03-19,1.01435
1971-03-26,1.04274
1971-04-02,1.08277
1971-04-09,1.13773
1971-04-16,1.20574
1971-04-23,1.28206
1971-04-30,1.35668
1971-05-07,1.41867
1971-05-14,1.45358
1971-05-21,1.45214
1971-05-28,1.41058
1971-06-04,1.33133
1971-06-11,1.22091
1971-06-18,1.09841
1971-06-25,0.98476
1971-07-02,0.90161
1971-07-09,0.86936
1971-07-16,0.90170
1971-07-23,1.00368
1971-07-30,1.16896
1971-08-06,1.38145
1971-08-13,1.61620
1971-08-20,1.84619
1971-08-27,2.04051
1971-09-03,2.18057
1971-09-10,2.25000
1971-09-17,2.24898
1971-09-24,2.18344
1971-10-01,2.06893
1971-10-08,1.92358
1971-10-15,1.77047
1971-10-22,1.62917
1971-10-29,1.51420
1971-11-05,1.43441
1971-11-12,1.38974
1971-11-19,1.37582
1971-11-26,1.38072
1971-12-03,1.39285
1971-12-10,1.39973
1971-12-17,1.39052
1971-12-24,1.35779
1971-12-31,1.30159
1972-01-07,1.21532
1972-01-14,1.11282
1972-01-21,0.99914
1972-01-28,0.88325
1972-02-04,0.77469
1972-02-11,0.67893
1972-02-18,0.59894
1972-02-25,0.53554
1972-03-03,0.48760
1972-03-10,0.45226
1972-03-17,0.42459
1972-03-24,0.39940
1972-03-31,0.37183
1972-04-07,0.33717
1972-04-14,0.29591
1972-04-21,0.24760
1972-04-28,0.19569
1972-05-05,0.14433
1972-05-12,0.09863
1972-05-19,0.06393
1972-05-26,0.04544
1972-06-02,0.04574
1972-06-09,0.06566
1972-06-16,0.10236
1972-06-23,0.15101
1972-06-30,0.20407
1972-07-07,0.25267
1972-07-14,0.28979
1972-07-21,0.30899
1972-07-28,0.30541
1972-08-04,0.27850
1972-08-11,0.23042
1972-08-18,0.16630
1972-08-25,0.09259
1972-09-01,0.01735
1972-09-08,-0.05128
1972-09-15,-0.10796
1972-09-22,-0.14944
1972-09-29,-0.17506
1972-10-06,-0.18747
1972-10-13,-0.19138
1972-10-20,-0.19111
1972-10-27,-0.19192
1972-11-03,-0.19758
1972-11-10,-0.21000
1972-11-17,-0.22954
1972-11-24,-0.25452
1972-12-01,-0.28025
1972-12-08,-0.30137
1972-12-15,-0.31188
1972-12-22,-0.30403
1972-12-29,-0.27141
1973-01-05,-0.20986
1973-01-12,-0.11698
1973-01-19,0.00560
1973-01-26,0.15321
1973-02-02,0.31828
1973-02-09,0.49009
1973-02-16,0.65641
1973-02-23,0.80705
1973-03-02,0.93267
1973-03-09,1.02810
1973-03-16,1.09126
1973-03-23,1.12638
1973-03-30,1.13842
1973-04-06,1.13240
1973-04-13,1.11620
1973-04-20,1.09505
1973-04-27,1.07336
1973-05-04,1.05286
1973-05-11,1.03569
1973-05-18,1.02176
1973-05-25,1.01237
1973-06-01,1.00960
1973-06-08,1.01640
1973-06-15,1.03557
1973-06-22,1.07029
1973-06-29,1.12327
1973-07-06,1.19470
1973-07-13,1.28535
1973-07-20,1.39149
1973-07-27,1.51031
1973-08-03,1.63533
1973-08-10,1.76126
1973-08-17,1.88186
1973-08-24,1.99210
1973-08-31,2.08502
1973-09-07,2.15463
1973-09-14,2.19770
1973-09-21,2.21344
1973-09-28,2.20300
1973-10-05,2.16850
1973-10-12,2.11963
1973-10-19,2.06343
1973-10-26,2.01063
1973-11-02,1.96801
1973-11-09,1.94030
1973-11-16,1.92719
1973-11-23,1.92172
1973-11-30,1.91281
1973-12-07,1.88711
1973-12-14,1.83393
1973-12-21,1.74509
1973-12-28,1.61802
1974-01-04,1.45348
1974-01-11,1.26373
1974-01-18,1.06027
1974-01-25,0.85753
1974-02-01,0.67096
1974-02-08,0.51370
1974-02-15,0.39610
1974-02-22,0.32578
1974-03-01,0.30628
1974-03-08,0.33893
1974-03-15,0.42239
1974-03-22,0.55307
1974-03-29,0.72588
1974-04-05,0.93534
1974-04-12,1.17829
1974-04-19,1.44883
1974-04-26,1.74381
1974-05-03,2.05901
1974-05-10,2.39235
1974-05-17,2.73983
1974-05-24,3.09321
1974-05-31,3.44609
1974-06-07,3.78852
1974-06-14,4.10787
1974-06-21,4.39236
1974-06-28,4.62829
1974-07-05,4.80351
1974-07-12,4.91200
1974-07-19,4.95354
1974-07-26,4.93581
1974-08-02,4.87124
1974-08-09,4.77169
1974-08-16,4.65446
1974-08-23,4.52842
1974-08-30,4.40201
1974-09-06,4.27547
1974-09-13,4.14678
1974-09-20,4.01274
1974-09-27,3.86470
1974-10-04,3.69975
1974-10-11,3.51692
1974-10-18,3.32543
1974-10-25,3.13521
1974-11-01,2.95711
1974-11-08,2.80182
1974-11-15,2.67535
1974-11-22,2.57557
1974-11-29,2.49958
1974-12-06,2.43680
1974-12-13,2.37519
1974-12-20,2.30500
1974-12-27,2.21469
1975-01-03,2.09988
1975-01-10,1.95858
1975-01-17,1.79670
1975-01-24,1.62172
1975-01-31,1.44256
1975-02-07,1.26739
1975-02-14,1.10496
1975-02-21,0.95756
1975-02-28,0.82682
1975-03-07,0.71172
1975-03-14,0.60959
1975-03-21,0.51715
1975-03-28,0.42979
1975-04-04,0.34367
1975-04-11,0.25636
1975-04-18,0.16778
1975-04-25,0.07757
1975-05-02,-0.01110
1975-05-09,-0.09625
1975-05-16,-0.17455
1975-05-23,-0.24489
1975-05-30,-0.30382
1975-06-06,-0.35100
1975-06-13,-0.38677
1975-06-20,-0.41264
1975-06-27,-0.42996
1975-07-04,-0.44059
1975-07-11,-0.44655
1975-07-18,-0.44852
1975-07-25,-0.44611
1975-08-01,-0.43858
1975-08-08,-0.42464
1975-08-15,-0.40368
1975-08-22,-0.37534
1975-08-29,-0.33986
1975-09-05,-0.29892
1975-09-12,-0.25404
1975-09-19,-0.20744
1975-09-26,-0.16243
1975-10-03,-0.12064
1975-10-10,-0.08567
1975-10-17,-0.05842
1975-10-24,-0.03973
1975-10-31,-0.03041
1975-11-07,-0.03227
1975-11-14,-0.04608
1975-11-21,-0.07252
1975-11-28,-0.11217
1975-12-05,-0.16476
1975-12-12,-0.22862
1975-12-19,-0.30091
1975-12-26,-0.37886
1976-01-02,-0.45856
1976-01-09,-0.53567
1976-01-16,-0.60603
1976-01-23,-0.66696
1976-01-30,-0.71762
1976-02-06,-0.75778
1976-02-13,-0.78778
1976-02-20,-0.81038
1976-02-27,-0.82726
1976-03-05,-0.84021
1976-03-12,-0.84960
1976-03-19,-0.85582
1976-03-26,-0.85792
1976-04-02,-0.85433
1976-04-09,-0.84339
1976-04-16,-0.82404
1976-04-23,-0.79629
1976-04-30,-0.76174
1976-05-07,-0.72300
1976-05-14,-0.68383
1976-05-21,-0.64872
1976-05-28,-0.62138
1976-06-04,-0.60529
1976-06-11,-0.60213
1976-06-18,-0.61139
1976-06-25,-0.63194
1976-07-02,-0.66030
1976-07-09,-0.69300
1976-07-16,-0.72623
1976-07-23,-0.75680
1976-07-30,-0.78267
1976-08-06,-0.80279
1976-08-13,-0.81740
1976-08-20,-0.82742
1976-08-27,-0.83387
1976-09-03,-0.83818
1976-09-10,-0.84159
1976-09-17,-0.84436
1976-09-24,-0.84684
1976-10-01,-0.84780
1976-10-08,-0.84704
1976-10-15,-0.84330
1976-10-22,-0.83546
1976-10-29,-0.82343
1976-11-05,-0.80803
1976-11-12,-0.79014
1976-11-19,-0.77166
1976-11-26,-0.75560
1976-12-03,-0.74397
1976-12-10,-0.73982
1976-12-17,-0.74342
1976-12-24,-0.75578
1976-12-31,-0.77577
1977-01-07,-0.80198
1977-01-14,-0.83049
1977-01-21,-0.85871
1977-01-28,-0.88410
1977-02-04,-0.90410
1977-02-11,-0.91715
1977-02-18,-0.92290
1977-02-25,-0.92148
1977-03-04,-0.91322
1977-03-11,-0.89952
1977-03-18,-0.88092
1977-03-25,-0.85846
1977-04-01,-0.83239
1977-04-08,-0.80354
1977-04-15,-0.77150
1977-04-22,-0.73698
1977-04-29,-0.70073
1977-05-06,-0.66434
1977-05-13,-0.62916
1977-05-20,-0.59783
1977-05-27,-0.57156
1977-06-03,-0.55181
1977-06-10,-0.53918
1977-06-17,-0.53222
1977-06-24,-0.53002
1977-07-01,-0.53070
1977-07-08,-0.53230
1977-07-15,-0.53215
1977-07-22,-0.52858
1977-07-29,-0.52043
1977-08-05,-0.50731
1977-08-12,-0.48975
1977-08-19,-0.46851
1977-08-26,-0.44475
1977-09-02,-0.41910
1977-09-09,-0.39228
1977-09-16,-0.36422
1977-09-23,-0.33609
1977-09-30,-0.30775
1977-10-07,-0.28044
1977-10-14,-0.25427
1977-10-21,-0.22984
1977-10-28,-0.20798
1977-11-04,-0.18897
1977-11-11,-0.17379
1977-11-18,-0.16272
1977-11-25,-0.15612
1977-12-02,-0.15370
1977-12-09,-0.15543
1977-12-16,-0.16045
1977-12-23,-0.16833
1977-12-30,-0.17751
1978-01-06,-0.18722
1978-01-13,-0.19539
