DATE,TDSP
1980-01-01,10.615740
1980-04-01,10.636900
1980-07-01,10.406386
1980-10-01,10.252837
1981-01-01,10.287516
1981-04-01,10.416878
1981-07-01,10.306743
1981-10-01,10.379325
1982-01-01,10.447258
1982-04-01,10.504029
1982-07-01,10.409941
1982-10-01,10.380410
1983-01-01,10.348922
1983-04-01,10.376333
1983-07-01,10.381299
1983-10-01,10.425534
1984-01-01,10.478991
1984-04-01,10.607963
1984-07-01,10.719033
1984-10-01,10.878463
1985-01-01,11.220536
1985-04-01,11.310744
1985-07-01,11.595799
1985-10-01,11.725570
1986-01-01,11.739687
1986-04-01,11.812105
1986-07-01,11.917140
1986-10-01,12.062025
1987-01-01,11.931285
1987-04-01,12.067256
1987-07-01,11.939659
1987-10-01,11.806446
1988-01-01,11.752855
1988-04-01,11.736396
1988-07-01,11.691190
1988-10-01,11.569183
1989-01-01,11.565868
1989-04-01,11.731492
1989-07-01,11.793877
1989-10-01,11.745679
1990-01-01,11.649150
1990-04-01,11.600660
1990-07-01,11.583131
1990-10-01,11.604449
1991-01-01,11.578032
1991-04-01,11.434237
1991-07-01,11.318681
1991-10-01,11.117333
1992-01-01,10.855581
1992-04-01,10.680886
1992-07-01,10.540050
1992-10-01,10.455215
1993-01-01,10.419139
1993-04-01,10.354430
1993-07-01,10.405427
1993-10-01,10.368518
1994-01-01,10.388445
1994-04-01,10.452491
1994-07-01,10.586958
1994-10-01,10.699630
1995-01-01,10.888513
1995-04-01,11.080721
1995-07-01,11.185719
1995-10-01,11.223493
1996-01-01,11.242343
1996-04-01,11.269972
1996-07-01,11.315366
1996-10-01,11.371211
1997-01-01,11.328849
1997-04-01,11.328918
1997-07-01,11.338020
1997-10-01,11.288261
1998-01-01,11.144147
1998-04-01,11.166536
1998-07-01,11.152642
1998-10-01,11.216343
1999-01-01,11.267941
1999-04-01,11.429754
1999-07-01,11.542359
1999-10-01,11.546130
2000-01-01,11.525337
2000-04-01,11.669062
2000-07-01,11.827220
2000-10-01,12.020487
2001-01-01,12.121152
2001-04-01,12.353634
2001-07-01,12.309625
2001-10-01,12.662143
2002-01-01,12.442115
2002-04-01,12.347863
2002-07-01,12.356125
2002-10-01,12.320268
2003-01-01,12.348067
2003-04-01,12.274712
2003-07-01,12.114260
2003-10-01,12.184712
2004-01-01,12.189125
2004-04-01,12.125358
2004-07-01,12.231868
2004-10-01,12.224184
2005-01-01,12.548985
2005-04-01,12.543675
2005-07-01,12.587784
2005-10-01,12.611487
2006-01-01,12.618817
2006-04-01,12.667022
2006-07-01,12.779304
2006-10-01,12.866873
2007-01-01,12.896722
2007-04-01,12.941819
2007-07-01,13.050642
2007-10-01,13.172721
2008-01-01,13.110655
2008-04-01,12.760976
2008-07-01,12.826082
2008-10-01,12.762670
2009-01-01,12.676246
2009-04-01,12.365322
2009-07-01,12.240999
2009-10-01,11.941790
2010-01-01,11.634188
2010-04-01,11.297374
2010-07-01,11.096391
2010-10-01,10.949832
2011-01-01,10.761016
2011-04-01,10.680833
2011-07-01,10.570842
2011-10-01,10.446358
2012-01-01,10.207318
2012-04-01,10.076971
2012-07-01,10.128193
2012-10-01,9.805904
2013-01-01,10.161567
2013-04-01,10.081705
2013-07-01,10.042948
2013-10-01,10.050144
2014-01-01,9.966645
2014-04-01,9.902279
2014-07-01,9.860731
2014-10-01,9.827322
2015-01-01,9.844577
2015-04-01,9.880728
2015-07-01,9.940023
2015-10-01,9.882719
2016-01-01,9.851830
2016-04-01,9.948323
2016-07-01,10.011080
2016-10-01,9.987304
2017-01-01,9.940956
2017-04-01,9.909240
2017-07-01,9.914957
2017-10-01,9.931330
2018-01-01,9.876377
2018-04-01,9.829940
2018-07-01,9.807417
2018-10-01,9.789796
2019-01-01,9.775563
2019-04-01,9.808918
2019-07-01,9.817696
2019-10-01,9.813757
2020-01-01,9.746677
2020-04-01,8.789625
2020-07-01,9.102226
2020-10-01,9.321962
2021-01-01,8.327819
2021-04-01,9.038762
2021-07-01,9.137174
2021-10-01,9.267404
2022-01-01,9.534599
2022-04-01,9.628027
2022-07-01,9.747424
