Category: All categories

Month,bear market: (Worldwide)
2004-01,15
2004-02,10
2004-03,20
2004-04,7
2004-05,18
2004-06,10
2004-07,17
2004-08,11
2004-09,13
2004-10,13
2004-11,11
2004-12,6
2005-01,12
2005-02,15
2005-03,16
2005-04,19
2005-05,10
2005-06,12
2005-07,8
2005-08,10
2005-09,7
2005-10,8
2005-11,8
2005-12,11
2006-01,12
2006-02,9
2006-03,11
2006-04,10
2006-05,15
2006-06,19
2006-07,14
2006-08,6
2006-09,7
2006-10,9
2006-11,10
2006-12,7
2007-01,8
2007-02,11
2007-03,13
2007-04,11
2007-05,9
2007-06,12
2007-07,11
2007-08,19
2007-09,11
2007-10,12
2007-11,16
2007-12,12
2008-01,31
2008-02,19
2008-03,26
2008-04,16
2008-05,14
2008-06,19
2008-07,47
2008-08,14
2008-09,22
2008-10,41
2008-11,25
2008-12,19
2009-01,14
2009-02,19
2009-03,28
2009-04,23
2009-05,21
2009-06,13
2009-07,11
2009-08,14
2009-09,15
2009-10,12
2009-11,13
2009-12,10
2010-01,11
2010-02,10
2010-03,11
2010-04,10
2010-05,15
2010-06,12
2010-07,10
2010-08,9
2010-09,9
2010-10,8
2010-11,10
2010-12,9
2011-01,11
2011-02,10
2011-03,10
2011-04,10
2011-05,10
2011-06,9
2011-07,8
2011-08,20
2011-09,13
2011-10,17
2011-11,11
2011-12,11
2012-01,9
2012-02,9
2012-03,10
2012-04,8
2012-05,9
2012-06,10
2012-07,8
2012-08,8
2012-09,8
2012-10,8
2012-11,9
2012-12,9
2013-01,9
2013-02,9
2013-03,9
2013-04,11
2013-05,9
2013-06,11
2013-07,7
2013-08,8
2013-09,8
2013-10,8
2013-11,9
2013-12,9
2014-01,10
2014-02,11
2014-03,10
2014-04,9
2014-05,10
2014-06,8
2014-07,11
2014-08,9
2014-09,10
2014-10,13
2014-11,10
2014-12,10
2015-01,11
2015-02,10
2015-03,10
2015-04,9
2015-05,9
2015-06,11
2015-07,11
2015-08,21
2015-09,16
2015-10,11
2015-11,11
2015-12,11
2016-01,31
2016-02,21
2016-03,13
2016-04,11
2016-05,10
2016-06,10
2016-07,11
2016-08,10
2016-09,10
2016-10,9
2016-11,10
2016-12,10
2017-01,10
2017-02,11
2017-03,12
2017-04,10
2017-05,10
2017-06,10
2017-07,11
2017-08,10
2017-09,12
2017-10,11
2017-11,13
2017-12,14
2018-01,16
2018-02,23
2018-03,19
2018-04,15
2018-05,12
2018-06,14
2018-07,14
2018-08,13
2018-09,18
2018-10,23
2018-11,27
2018-12,54
2019-01,17
2019-02,14
2019-03,13
2019-04,12
2019-05,13
2019-06,13
2019-07,11
2019-08,13
2019-09,11
2019-10,11
2019-11,12
2019-12,12
2020-01,13
2020-02,18
2020-03,100
2020-04,31
2020-05,20
2020-06,19
2020-07,14
2020-08,14
2020-09,16
2020-10,13
2020-11,14
2020-12,13
2021-01,20
2021-02,22
2021-03,18
2021-04,21
2021-05,35
2021-06,21
2021-07,16
2021-08,14
2021-09,17
2021-10,18
2021-11,21
2021-12,23
2022-01,34
2022-02,25
2022-03,23
2022-04,23
2022-05,67
2022-06,84
2022-07,29
2022-08,28
2022-09,33
2022-10,28
2022-11,24
2022-12,23
