Category: All categories

Month,bitcoin price: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,1
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,2
2013-12,3
2014-01,2
2014-02,2
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,3
2016-07,2
2016-08,2
2016-09,1
2016-10,1
2016-11,2
2016-12,2
2017-01,4
2017-02,3
2017-03,4
2017-04,3
2017-05,11
2017-06,11
2017-07,8
2017-08,15
2017-09,16
2017-10,17
2017-11,38
2017-12,100
2018-01,55
2018-02,46
2018-03,25
2018-04,20
2018-05,14
2018-06,14
2018-07,12
2018-08,12
2018-09,10
2018-10,7
2018-11,12
2018-12,13
2019-01,8
2019-02,7
2019-03,6
2019-04,9
2019-05,15
2019-06,18
2019-07,16
2019-08,12
2019-09,9
2019-10,9
2019-11,8
2019-12,8
2020-01,9
2020-02,11
2020-03,17
2020-04,12
2020-05,14
2020-06,9
2020-07,9
2020-08,12
2020-09,8
2020-10,9
2020-11,21
2020-12,29
2021-01,65
2021-02,66
2021-03,49
2021-04,47
2021-05,69
2021-06,45
2021-07,31
2021-08,33
2021-09,30
2021-10,36
2021-11,34
2021-12,37
2022-01,45
2022-02,35
2022-03,29
2022-04,20
2022-05,37
2022-06,49
2022-07,32
2022-08,23
2022-09,22
2022-10,16
2022-11,26
2022-12,18
2023-01,20
2023-02,18
2023-03,20
