Category: All categories

Month,bull run: (Worldwide)
2004-01,41
2004-02,43
2004-03,54
2004-04,64
2004-05,100
2004-06,43
2004-07,27
2004-08,17
2004-09,33
2004-10,38
2004-11,36
2004-12,37
2005-01,40
2005-02,43
2005-03,40
2005-04,50
2005-05,84
2005-06,34
2005-07,28
2005-08,24
2005-09,30
2005-10,31
2005-11,28
2005-12,34
2006-01,37
2006-02,30
2006-03,36
2006-04,46
2006-05,67
2006-06,31
2006-07,29
2006-08,18
2006-09,28
2006-10,30
2006-11,29
2006-12,31
2007-01,27
2007-02,22
2007-03,35
2007-04,42
2007-05,56
2007-06,24
2007-07,26
2007-08,20
2007-09,22
2007-10,26
2007-11,25
2007-12,26
2008-01,23
2008-02,23
2008-03,21
2008-04,33
2008-05,41
2008-06,20
2008-07,21
2008-08,17
2008-09,20
2008-10,22
2008-11,20
2008-12,26
2009-01,23
2009-02,24
2009-03,26
2009-04,32
2009-05,39
2009-06,21
2009-07,24
2009-08,16
2009-09,22
2009-10,22
2009-11,21
2009-12,22
2010-01,18
2010-02,20
2010-03,24
2010-04,30
2010-05,32
2010-06,19
2010-07,20
2010-08,15
2010-09,20
2010-10,18
2010-11,18
2010-12,23
2011-01,17
2011-02,17
2011-03,20
2011-04,27
2011-05,32
2011-06,21
2011-07,27
2011-08,16
2011-09,19
2011-10,18
2011-11,19
2011-12,26
2012-01,18
2012-02,18
2012-03,19
2012-04,23
2012-05,28
2012-06,18
2012-07,18
2012-08,14
2012-09,18
2012-10,16
2012-11,17
2012-12,22
2013-01,18
2013-02,19
2013-03,19
2013-04,25
2013-05,29
2013-06,19
2013-07,24
2013-08,21
2013-09,18
2013-10,21
2013-11,20
2013-12,23
2014-01,19
2014-02,19
2014-03,20
2014-04,25
2014-05,30
2014-06,19
2014-07,18
2014-08,14
2014-09,17
2014-10,18
2014-11,17
2014-12,23
2015-01,17
2015-02,16
2015-03,17
2015-04,23
2015-05,28
2015-06,16
2015-07,18
2015-08,15
2015-09,18
2015-10,18
2015-11,17
2015-12,22
2016-01,16
2016-02,16
2016-03,16
2016-04,22
2016-05,26
2016-06,15
2016-07,17
2016-08,12
2016-09,16
2016-10,16
2016-11,15
2016-12,21
2017-01,17
2017-02,16
2017-03,17
2017-04,23
2017-05,27
2017-06,16
2017-07,15
2017-08,14
2017-09,15
2017-10,15
2017-11,17
2017-12,22
2018-01,15
2018-02,15
2018-03,16
2018-04,22
2018-05,26
2018-06,14
2018-07,14
2018-08,14
2018-09,15
2018-10,15
2018-11,17
2018-12,21
2019-01,17
2019-02,15
2019-03,17
2019-04,22
2019-05,24
2019-06,14
2019-07,14
2019-08,13
2019-09,14
2019-10,13
2019-11,15
2019-12,20
2020-01,14
2020-02,14
2020-03,12
2020-04,15
2020-05,19
2020-06,12
2020-07,11
2020-08,11
2020-09,13
2020-10,11
2020-11,15
2020-12,18
2021-01,13
2021-02,14
2021-03,15
2021-04,19
2021-05,24
2021-06,14
2021-07,13
2021-08,12
2021-09,14
2021-10,16
2021-11,18
2021-12,18
2022-01,12
2022-02,12
2022-03,14
2022-04,20
2022-05,21
2022-06,14
2022-07,13
2022-08,12
2022-09,14
2022-10,15
2022-11,15
2022-12,20
