Category: All categories

Month,buy crypto: (Worldwide)
2004-01,0
2004-02,4
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,2
2004-10,0
2004-11,1
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,1
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,1
2017-06,3
2017-07,2
2017-08,3
2017-09,2
2017-10,2
2017-11,5
2017-12,18
2018-01,18
2018-02,6
2018-03,3
2018-04,3
2018-05,3
2018-06,2
2018-07,2
2018-08,2
2018-09,2
2018-10,1
2018-11,2
2018-12,1
2019-01,1
2019-02,2
2019-03,1
2019-04,2
2019-05,2
2019-06,3
2019-07,2
2019-08,2
2019-09,2
2019-10,2
2019-11,2
2019-12,1
2020-01,2
2020-02,2
2020-03,3
2020-04,3
2020-05,4
2020-06,3
2020-07,4
2020-08,6
2020-09,4
2020-10,3
2020-11,5
2020-12,8
2021-01,27
2021-02,39
2021-03,28
2021-04,72
2021-05,100
2021-06,27
2021-07,15
2021-08,23
2021-09,25
2021-10,47
2021-11,69
2021-12,41
2022-01,44
2022-02,30
2022-03,24
2022-04,22
2022-05,25
2022-06,15
2022-07,13
2022-08,13
2022-09,13
2022-10,12
2022-11,12
2022-12,10
2023-01,12
2023-02,12
2023-03,11
