Category: All categories

Week,crypto: (Worldwide)
2018-03-18,9
2018-03-25,9
2018-04-01,8
2018-04-08,8
2018-04-15,8
2018-04-22,9
2018-04-29,9
2018-05-06,8
2018-05-13,8
2018-05-20,7
2018-05-27,7
2018-06-03,6
2018-06-10,7
2018-06-17,6
2018-06-24,6
2018-07-01,5
2018-07-08,5
2018-07-15,6
2018-07-22,6
2018-07-29,5
2018-08-05,6
2018-08-12,6
2018-08-19,5
2018-08-26,5
2018-09-02,6
2018-09-09,5
2018-09-16,6
2018-09-23,5
2018-09-30,6
2018-10-07,6
2018-10-14,5
2018-10-21,5
2018-10-28,5
2018-11-04,5
2018-11-11,6
2018-11-18,6
2018-11-25,5
2018-12-02,5
2018-12-09,4
2018-12-16,5
2018-12-23,4
2018-12-30,4
2019-01-06,5
2019-01-13,5
2019-01-20,4
2019-01-27,4
2019-02-03,4
2019-02-10,4
2019-02-17,5
2019-02-24,4
2019-03-03,4
2019-03-10,4
2019-03-17,4
2019-03-24,4
2019-03-31,5
2019-04-07,6
2019-04-14,6
2019-04-21,5
2019-04-28,5
2019-05-05,5
2019-05-12,7
2019-05-19,5
2019-05-26,6
2019-06-02,5
2019-06-09,6
2019-06-16,8
2019-06-23,9
2019-06-30,7
2019-07-07,6
2019-07-14,6
2019-07-21,5
2019-07-28,5
2019-08-04,5
2019-08-11,4
2019-08-18,4
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,5
2019-09-22,5
2019-09-29,5
2019-10-06,4
2019-10-13,4
2019-10-20,4
2019-10-27,4
2019-11-03,4
2019-11-10,4
2019-11-17,5
2019-11-24,4
2019-12-01,4
2019-12-08,4
2019-12-15,4
2019-12-22,4
2019-12-29,4
2020-01-05,4
2020-01-12,5
2020-01-19,4
2020-01-26,4
2020-02-02,5
2020-02-09,8
2020-02-16,6
2020-02-23,5
2020-03-01,5
2020-03-08,6
2020-03-15,5
2020-03-22,5
2020-03-29,5
2020-04-05,6
2020-04-12,5
2020-04-19,6
2020-04-26,6
2020-05-03,6
2020-05-10,7
2020-05-17,6
2020-05-24,6
2020-05-31,6
2020-06-07,6
2020-06-14,6
2020-06-21,6
2020-06-28,6
2020-07-05,6
2020-07-12,7
2020-07-19,7
2020-07-26,9
2020-08-02,9
2020-08-09,9
2020-08-16,10
2020-08-23,9
2020-08-30,9
2020-09-06,8
2020-09-13,7
2020-09-20,7
2020-09-27,6
2020-10-04,6
2020-10-11,6
2020-10-18,6
2020-10-25,6
2020-11-01,6
2020-11-08,7
2020-11-15,9
2020-11-22,11
2020-11-29,9
2020-12-06,8
2020-12-13,10
2020-12-20,11
2020-12-27,15
2021-01-03,23
2021-01-10,21
2021-01-17,18
2021-01-24,25
2021-01-31,32
2021-02-07,42
2021-02-14,39
2021-02-21,37
2021-02-28,28
2021-03-07,31
2021-03-14,37
2021-03-21,33
2021-03-28,36
2021-04-04,42
2021-04-11,61
2021-04-18,77
2021-04-25,55
2021-05-02,85
2021-05-09,100
2021-05-16,91
2021-05-23,61
2021-05-30,46
2021-06-06,38
2021-06-13,34
2021-06-20,34
2021-06-27,27
2021-07-04,27
2021-07-11,25
2021-07-18,26
2021-07-25,29
2021-08-01,28
2021-08-08,37
2021-08-15,36
2021-08-22,38
2021-08-29,39
2021-09-05,47
2021-09-12,37
2021-09-19,37
2021-09-26,31
2021-10-03,41
2021-10-10,41
2021-10-17,46
2021-10-24,71
2021-10-31,83
2021-11-07,74
2021-11-14,71
2021-11-21,77
2021-11-28,73
2021-12-05,59
2021-12-12,55
2021-12-19,52
2021-12-26,56
2022-01-02,74
2022-01-09,65
2022-01-16,70
2022-01-23,64
2022-01-30,59
2022-02-06,56
2022-02-13,54
2022-02-20,45
2022-02-27,42
2022-03-06,42
2022-03-13,38
2022-03-20,41
2022-03-27,48
2022-04-03,42
2022-04-10,37
2022-04-17,36
2022-04-24,37
2022-05-01,36
2022-05-08,73
2022-05-15,44
2022-05-22,35
2022-05-29,30
2022-06-05,28
2022-06-12,42
2022-06-19,30
2022-06-26,27
2022-07-03,25
2022-07-10,24
2022-07-17,26
2022-07-24,26
2022-07-31,24
2022-08-07,25
2022-08-14,25
2022-08-21,25
2022-08-28,25
2022-09-04,25
2022-09-11,24
2022-09-18,23
2022-09-25,22
2022-10-02,22
2022-10-09,21
2022-10-16,20
2022-10-23,21
2022-10-30,23
2022-11-06,36
2022-11-13,36
2022-11-20,25
2022-11-27,22
2022-12-04,20
2022-12-11,23
2022-12-18,20
2022-12-25,19
2023-01-01,20
2023-01-08,23
2023-01-15,24
2023-01-22,23
2023-01-29,23
2023-02-05,23
2023-02-12,22
2023-02-19,21
2023-02-26,19
2023-03-05,21
2023-03-12,25
