Category: All categories

Month,crypto winter: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,40
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,42
2004-12,41
2005-01,0
2005-02,0
2005-03,100
2005-04,41
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,17
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,17
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,11
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,6
2009-08,0
2009-09,0
2009-10,0
2009-11,10
2009-12,0
2010-01,0
2010-02,10
2010-03,6
2010-04,4
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,3
2010-12,7
2011-01,0
2011-02,0
2011-03,4
2011-04,0
2011-05,0
2011-06,6
2011-07,0
2011-08,0
2011-09,5
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,5
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,7
2014-01,0
2014-02,3
2014-03,0
2014-04,0
2014-05,0
2014-06,2
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,3
2015-01,0
2015-02,2
2015-03,0
2015-04,0
2015-05,2
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,2
2017-01,0
2017-02,0
2017-03,0
2017-04,2
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,2
2017-11,0
2017-12,8
2018-01,9
2018-02,9
2018-03,3
2018-04,3
2018-05,3
2018-06,0
2018-07,0
2018-08,2
2018-09,3
2018-10,3
2018-11,5
2018-12,6
2019-01,4
2019-02,4
2019-03,3
2019-04,3
2019-05,2
2019-06,1
2019-07,4
2019-08,0
2019-09,3
2019-10,4
2019-11,2
2019-12,3
2020-01,2
2020-02,2
2020-03,2
2020-04,1
2020-05,2
2020-06,2
2020-07,2
2020-08,2
2020-09,2
2020-10,1
2020-11,5
2020-12,4
2021-01,6
2021-02,11
2021-03,10
2021-04,27
2021-05,54
2021-06,19
2021-07,21
2021-08,16
2021-09,14
2021-10,24
2021-11,65
2021-12,57
2022-01,71
2022-02,67
2022-03,19
2022-04,14
2022-05,43
2022-06,89
2022-07,40
2022-08,35
2022-09,28
2022-10,34
2022-11,43
2022-12,32
