Category: All categories

Month,gas price: (Worldwide)
2006-12,8
2007-01,10
2007-02,10
2007-03,11
2007-04,13
2007-05,23
2007-06,12
2007-07,11
2007-08,11
2007-09,9
2007-10,10
2007-11,14
2007-12,9
2008-01,12
2008-02,12
2008-03,19
2008-04,25
2008-05,34
2008-06,33
2008-07,28
2008-08,22
2008-09,28
2008-10,29
2008-11,23
2008-12,19
2009-01,15
2009-02,13
2009-03,12
2009-04,11
2009-05,12
2009-06,13
2009-07,12
2009-08,12
2009-09,13
2009-10,12
2009-11,11
2009-12,10
2010-01,11
2010-02,10
2010-03,12
2010-04,11
2010-05,12
2010-06,11
2010-07,10
2010-08,10
2010-09,10
2010-10,11
2010-11,11
2010-12,13
2011-01,13
2011-02,15
2011-03,21
2011-04,23
2011-05,22
2011-06,15
2011-07,15
2011-08,15
2011-09,15
2011-10,14
2011-11,11
2011-12,11
2012-01,14
2012-02,20
2012-03,22
2012-04,18
2012-05,16
2012-06,15
2012-07,12
2012-08,14
2012-09,17
2012-10,22
2012-11,16
2012-12,12
2013-01,13
2013-02,15
2013-03,13
2013-04,13
2013-05,14
2013-06,13
2013-07,13
2013-08,12
2013-09,13
2013-10,14
2013-11,13
2013-12,11
2014-01,14
2014-02,14
2014-03,13
2014-04,14
2014-05,13
2014-06,13
2014-07,13
2014-08,12
2014-09,12
2014-10,16
2014-11,16
2014-12,23
2015-01,24
2015-02,17
2015-03,15
2015-04,14
2015-05,14
2015-06,13
2015-07,15
2015-08,17
2015-09,16
2015-10,15
2015-11,15
2015-12,16
2016-01,19
2016-02,18
2016-03,13
2016-04,13
2016-05,13
2016-06,14
2016-07,14
2016-08,13
2016-09,14
2016-10,14
2016-11,15
2016-12,15
2017-01,16
2017-02,15
2017-03,15
2017-04,15
2017-05,15
2017-06,15
2017-07,15
2017-08,18
2017-09,21
2017-10,18
2017-11,21
2017-12,19
2018-01,20
2018-02,17
2018-03,18
2018-04,21
2018-05,23
2018-06,20
2018-07,21
2018-08,21
2018-09,21
2018-10,25
2018-11,27
2018-12,25
2019-01,24
2019-02,22
2019-03,22
2019-04,27
2019-05,23
2019-06,24
2019-07,24
2019-08,24
2019-09,24
2019-10,24
2019-11,24
2019-12,23
2020-01,26
2020-02,28
2020-03,37
2020-04,35
2020-05,28
2020-06,28
2020-07,25
2020-08,25
2020-09,24
2020-10,23
2020-11,25
2020-12,29
2021-01,29
2021-02,37
2021-03,41
2021-04,33
2021-05,38
2021-06,38
2021-07,38
2021-08,34
2021-09,37
2021-10,46
2021-11,43
2021-12,36
2022-01,36
2022-02,50
2022-03,100
2022-04,56
2022-05,71
2022-06,81
2022-07,69
2022-08,60
2022-09,58
2022-10,53
2022-11,44
2022-12,44
