Category: All categories

Month,Inflation: (Worldwide)
2004-01,53
2004-02,46
2004-03,54
2004-04,55
2004-05,52
2004-06,46
2004-07,37
2004-08,40
2004-09,44
2004-10,49
2004-11,54
2004-12,44
2005-01,49
2005-02,48
2005-03,50
2005-04,53
2005-05,48
2005-06,41
2005-07,32
2005-08,34
2005-09,41
2005-10,41
2005-11,46
2005-12,37
2006-01,40
2006-02,40
2006-03,42
2006-04,40
2006-05,42
2006-06,38
2006-07,29
2006-08,31
2006-09,32
2006-10,36
2006-11,38
2006-12,33
2007-01,40
2007-02,38
2007-03,40
2007-04,38
2007-05,40
2007-06,32
2007-07,29
2007-08,32
2007-09,37
2007-10,41
2007-11,47
2007-12,43
2008-01,50
2008-02,48
2008-03,52
2008-04,57
2008-05,55
2008-06,55
2008-07,52
2008-08,43
2008-09,46
2008-10,51
2008-11,47
2008-12,39
2009-01,44
2009-02,42
2009-03,45
2009-04,40
2009-05,39
2009-06,36
2009-07,28
2009-08,26
2009-09,33
2009-10,36
2009-11,37
2009-12,33
2010-01,36
2010-02,37
2010-03,38
2010-04,39
2010-05,40
2010-06,31
2010-07,24
2010-08,25
2010-09,31
2010-10,35
2010-11,40
2010-12,34
2011-01,40
2011-02,41
2011-03,41
2011-04,42
2011-05,40
2011-06,35
2011-07,29
2011-08,31
2011-09,35
2011-10,35
2011-11,40
2011-12,33
2012-01,35
2012-02,34
2012-03,36
2012-04,34
2012-05,36
2012-06,28
2012-07,24
2012-08,24
2012-09,31
2012-10,31
2012-11,33
2012-12,27
2013-01,35
2013-02,33
2013-03,33
2013-04,35
2013-05,33
2013-06,29
2013-07,24
2013-08,24
2013-09,28
2013-10,31
2013-11,33
2013-12,30
2014-01,33
2014-02,33
2014-03,34
2014-04,32
2014-05,33
2014-06,28
2014-07,24
2014-08,25
2014-09,30
2014-10,35
2014-11,35
2014-12,32
2015-01,35
2015-02,32
2015-03,35
2015-04,34
2015-05,32
2015-06,30
2015-07,25
2015-08,25
2015-09,30
2015-10,29
2015-11,32
2015-12,31
2016-01,34
2016-02,32
2016-03,32
2016-04,32
2016-05,32
2016-06,27
2016-07,21
2016-08,23
2016-09,28
2016-10,30
2016-11,33
2016-12,30
2017-01,33
2017-02,32
2017-03,35
2017-04,31
2017-05,33
2017-06,28
2017-07,24
2017-08,24
2017-09,28
2017-10,32
2017-11,36
2017-12,31
2018-01,34
2018-02,35
2018-03,33
2018-04,34
2018-05,35
2018-06,29
2018-07,29
2018-08,31
2018-09,37
2018-10,42
2018-11,38
2018-12,35
2019-01,38
2019-02,33
2019-03,36
2019-04,36
2019-05,35
2019-06,30
2019-07,27
2019-08,28
2019-09,32
2019-10,34
2019-11,38
2019-12,32
2020-01,36
2020-02,33
2020-03,33
2020-04,36
2020-05,36
2020-06,31
2020-07,28
2020-08,28
2020-09,31
2020-10,32
2020-11,33
2020-12,35
2021-01,37
2021-02,40
2021-03,41
2021-04,40
2021-05,51
2021-06,44
2021-07,37
2021-08,36
2021-09,43
2021-10,55
2021-11,67
2021-12,69
2022-01,85
2022-02,78
2022-03,93
2022-04,90
2022-05,96
2022-06,100
2022-07,96
2022-08,93
2022-09,97
2022-10,98
2022-11,93
2022-12,92
