Category: All categories

Month,Interest rate: (Worldwide)
2004-01,50
2004-02,53
2004-03,62
2004-04,58
2004-05,54
2004-06,54
2004-07,49
2004-08,48
2004-09,45
2004-10,45
2004-11,48
2004-12,38
2005-01,45
2005-02,51
2005-03,54
2005-04,51
2005-05,52
2005-06,55
2005-07,50
2005-08,53
2005-09,49
2005-10,45
2005-11,45
2005-12,41
2006-01,47
2006-02,47
2006-03,51
2006-04,51
2006-05,50
2006-06,50
2006-07,48
2006-08,54
2006-09,44
2006-10,42
2006-11,42
2006-12,38
2007-01,46
2007-02,45
2007-03,49
2007-04,50
2007-05,47
2007-06,47
2007-07,48
2007-08,53
2007-09,52
2007-10,45
2007-11,47
2007-12,44
2008-01,77
2008-02,66
2008-03,69
2008-04,58
2008-05,50
2008-06,49
2008-07,49
2008-08,42
2008-09,56
2008-10,67
2008-11,60
2008-12,88
2009-01,89
2009-02,74
2009-03,78
2009-04,67
2009-05,55
2009-06,57
2009-07,51
2009-08,50
2009-09,45
2009-10,50
2009-11,46
2009-12,42
2010-01,47
2010-02,47
2010-03,51
2010-04,50
2010-05,45
2010-06,41
2010-07,43
2010-08,47
2010-09,40
2010-10,43
2010-11,43
2010-12,38
2011-01,40
2011-02,39
2011-03,41
2011-04,38
2011-05,36
2011-06,35
2011-07,36
2011-08,44
2011-09,38
2011-10,39
2011-11,38
2011-12,32
2012-01,37
2012-02,39
2012-03,39
2012-04,38
2012-05,38
2012-06,39
2012-07,37
2012-08,36
2012-09,33
2012-10,36
2012-11,31
2012-12,30
2013-01,35
2013-02,36
2013-03,36
2013-04,36
2013-05,36
2013-06,40
2013-07,41
2013-08,37
2013-09,35
2013-10,35
2013-11,33
2013-12,28
2014-01,35
2014-02,35
2014-03,35
2014-04,33
2014-05,32
2014-06,31
2014-07,31
2014-08,30
2014-09,30
2014-10,31
2014-11,29
2014-12,30
2015-01,37
2015-02,37
2015-03,37
2015-04,37
2015-05,35
2015-06,34
2015-07,35
2015-08,35
2015-09,36
2015-10,34
2015-11,31
2015-12,36
2016-01,34
2016-02,38
2016-03,36
2016-04,37
2016-05,37
2016-06,37
2016-07,37
2016-08,38
2016-09,37
2016-10,31
2016-11,40
2016-12,36
2017-01,38
2017-02,38
2017-03,39
2017-04,39
2017-05,36
2017-06,38
2017-07,38
2017-08,36
2017-09,39
2017-10,38
2017-11,37
2017-12,34
2018-01,40
2018-02,43
2018-03,42
2018-04,42
2018-05,41
2018-06,39
2018-07,41
2018-08,44
2018-09,45
2018-10,46
2018-11,45
2018-12,43
2019-01,45
2019-02,46
2019-03,51
2019-04,44
2019-05,44
2019-06,52
2019-07,55
2019-08,59
2019-09,57
2019-10,51
2019-11,45
2019-12,43
2020-01,48
2020-02,54
2020-03,100
2020-04,60
2020-05,63
2020-06,62
2020-07,59
2020-08,62
2020-09,56
2020-10,51
2020-11,48
2020-12,47
2021-01,52
2021-02,51
2021-03,53
2021-04,48
2021-05,43
2021-06,43
2021-07,43
2021-08,40
2021-09,43
2021-10,43
2021-11,45
2021-12,45
2022-01,53
2022-02,54
2022-03,62
2022-04,62
2022-05,70
2022-06,72
2022-07,70
2022-08,65
2022-09,78
2022-10,79
2022-11,76
2022-12,77
