Category: All categories

Month,market bottom: (Worldwide)
2004-01,35
2004-02,19
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,17
2004-08,12
2004-09,22
2004-10,16
2004-11,12
2004-12,0
2005-01,8
2005-02,10
2005-03,11
2005-04,11
2005-05,0
2005-06,6
2005-07,0
2005-08,0
2005-09,0
2005-10,17
2005-11,5
2005-12,19
2006-01,20
2006-02,9
2006-03,0
2006-04,0
2006-05,8
2006-06,8
2006-07,8
2006-08,7
2006-09,0
2006-10,10
2006-11,0
2006-12,12
2007-01,7
2007-02,0
2007-03,12
2007-04,10
2007-05,7
2007-06,11
2007-07,0
2007-08,10
2007-09,12
2007-10,5
2007-11,7
2007-12,7
2008-01,18
2008-02,9
2008-03,17
2008-04,15
2008-05,17
2008-06,20
2008-07,18
2008-08,20
2008-09,33
2008-10,77
2008-11,57
2008-12,29
2009-01,23
2009-02,34
2009-03,45
2009-04,23
2009-05,24
2009-06,9
2009-07,17
2009-08,13
2009-09,11
2009-10,17
2009-11,10
2009-12,9
2010-01,8
2010-02,11
2010-03,12
2010-04,10
2010-05,13
2010-06,14
2010-07,8
2010-08,11
2010-09,12
2010-10,11
2010-11,9
2010-12,8
2011-01,10
2011-02,8
2011-03,12
2011-04,14
2011-05,14
2011-06,12
2011-07,16
2011-08,20
2011-09,17
2011-10,12
2011-11,15
2011-12,15
2012-01,9
2012-02,14
2012-03,16
2012-04,15
2012-05,15
2012-06,13
2012-07,13
2012-08,11
2012-09,13
2012-10,14
2012-11,13
2012-12,11
2013-01,12
2013-02,11
2013-03,11
2013-04,15
2013-05,10
2013-06,12
2013-07,15
2013-08,13
2013-09,12
2013-10,12
2013-11,10
2013-12,10
2014-01,10
2014-02,10
2014-03,10
2014-04,9
2014-05,11
2014-06,12
2014-07,13
2014-08,12
2014-09,12
2014-10,11
2014-11,13
2014-12,11
2015-01,12
2015-02,12
2015-03,11
2015-04,11
2015-05,11
2015-06,10
2015-07,12
2015-08,16
2015-09,12
2015-10,11
2015-11,13
2015-12,10
2016-01,13
2016-02,14
2016-03,14
2016-04,11
2016-05,11
2016-06,13
2016-07,10
2016-08,10
2016-09,9
2016-10,10
2016-11,15
2016-12,11
2017-01,10
2017-02,12
2017-03,12
2017-04,18
2017-05,13
2017-06,11
2017-07,9
2017-08,9
2017-09,14
2017-10,14
2017-11,14
2017-12,12
2018-01,12
2018-02,16
2018-03,13
2018-04,13
2018-05,12
2018-06,14
2018-07,12
2018-08,12
2018-09,12
2018-10,15
2018-11,13
2018-12,16
2019-01,12
2019-02,14
2019-03,13
2019-04,14
2019-05,13
2019-06,13
2019-07,13
2019-08,12
2019-09,14
2019-10,11
2019-11,11
2019-12,13
2020-01,10
2020-02,17
2020-03,100
2020-04,69
2020-05,29
2020-06,21
2020-07,16
2020-08,13
2020-09,18
2020-10,14
2020-11,14
2020-12,13
2021-01,13
2021-02,15
2021-03,17
2021-04,18
2021-05,17
2021-06,15
2021-07,14
2021-08,17
2021-09,16
2021-10,19
2021-11,18
2021-12,15
2022-01,25
2022-02,28
2022-03,31
2022-04,32
2022-05,45
2022-06,41
2022-07,34
2022-08,24
2022-09,36
2022-10,36
2022-11,34
2022-12,27
