Category: All categories

Month,market crash: (Worldwide)
2004-01,36
2004-02,38
2004-03,42
2004-04,44
2004-05,33
2004-06,26
2004-07,14
2004-08,13
2004-09,18
2004-10,24
2004-11,34
2004-12,22
2005-01,27
2005-02,37
2005-03,36
2005-04,37
2005-05,31
2005-06,20
2005-07,11
2005-08,11
2005-09,16
2005-10,23
2005-11,25
2005-12,20
2006-01,24
2006-02,24
2006-03,30
2006-04,24
2006-05,30
2006-06,15
2006-07,9
2006-08,9
2006-09,14
2006-10,17
2006-11,19
2006-12,18
2007-01,18
2007-02,26
2007-03,31
2007-04,23
2007-05,24
2007-06,13
2007-07,13
2007-08,25
2007-09,18
2007-10,23
2007-11,21
2007-12,16
2008-01,30
2008-02,20
2008-03,24
2008-04,22
2008-05,17
2008-06,12
2008-07,13
2008-08,8
2008-09,57
2008-10,71
2008-11,27
2008-12,19
2009-01,16
2009-02,22
2009-03,23
2009-04,18
2009-05,16
2009-06,10
2009-07,7
2009-08,9
2009-09,13
2009-10,16
2009-11,15
2009-12,12
2010-01,14
2010-02,16
2010-03,16
2010-04,17
2010-05,25
2010-06,12
2010-07,9
2010-08,11
2010-09,10
2010-10,14
2010-11,14
2010-12,11
2011-01,13
2011-02,15
2011-03,19
2011-04,18
2011-05,14
2011-06,12
2011-07,10
2011-08,32
2011-09,14
2011-10,15
2011-11,15
2011-12,12
2012-01,14
2012-02,14
2012-03,16
2012-04,14
2012-05,14
2012-06,10
2012-07,8
2012-08,8
2012-09,10
2012-10,14
2012-11,15
2012-12,10
2013-01,14
2013-02,15
2013-03,17
2013-04,18
2013-05,16
2013-06,12
2013-07,9
2013-08,11
2013-09,10
2013-10,15
2013-11,13
2013-12,14
2014-01,16
2014-02,20
2014-03,20
2014-04,22
2014-05,17
2014-06,11
2014-07,11
2014-08,11
2014-09,13
2014-10,20
2014-11,15
2014-12,18
2015-01,22
2015-02,19
2015-03,21
2015-04,19
2015-05,18
2015-06,15
2015-07,27
2015-08,57
2015-09,24
2015-10,17
2015-11,17
2015-12,18
2016-01,37
2016-02,25
2016-03,22
2016-04,23
2016-05,20
2016-06,24
2016-07,15
2016-08,14
2016-09,17
2016-10,18
2016-11,40
2016-12,20
2017-01,20
2017-02,22
2017-03,24
2017-04,22
2017-05,22
2017-06,17
2017-07,14
2017-08,17
2017-09,15
2017-10,21
2017-11,23
2017-12,25
2018-01,27
2018-02,88
2018-03,26
2018-04,24
2018-05,20
2018-06,17
2018-07,15
2018-08,18
2018-09,19
2018-10,37
2018-11,25
2018-12,40
2019-01,23
2019-02,21
2019-03,21
2019-04,21
2019-05,20
2019-06,14
2019-07,14
2019-08,22
2019-09,15
2019-10,20
2019-11,19
2019-12,19
2020-01,25
2020-02,39
2020-03,100
2020-04,49
2020-05,32
2020-06,29
2020-07,25
2020-08,25
2020-09,28
2020-10,28
2020-11,25
2020-12,30
2021-01,49
2021-02,47
2021-03,38
2021-04,38
2021-05,46
2021-06,32
2021-07,30
2021-08,26
2021-09,30
2021-10,30
2021-11,32
2021-12,29
2022-01,54
2022-02,52
2022-03,38
2022-04,41
2022-05,59
2022-06,52
2022-07,33
2022-08,26
2022-09,39
2022-10,34
2022-11,24
2022-12,25
