Category: All categories

Month,Mortgage: (Worldwide)
2004-01,91
2004-02,89
2004-03,100
2004-04,98
2004-05,86
2004-06,85
2004-07,81
2004-08,80
2004-09,75
2004-10,70
2004-11,65
2004-12,61
2005-01,79
2005-02,83
2005-03,81
2005-04,81
2005-05,80
2005-06,86
2005-07,83
2005-08,85
2005-09,68
2005-10,71
2005-11,63
2005-12,61
2006-01,77
2006-02,74
2006-03,77
2006-04,74
2006-05,74
2006-06,73
2006-07,76
2006-08,80
2006-09,69
2006-10,67
2006-11,61
2006-12,58
2007-01,78
2007-02,80
2007-03,77
2007-04,74
2007-05,68
2007-06,71
2007-07,76
2007-08,81
2007-09,67
2007-10,58
2007-11,50
2007-12,48
2008-01,84
2008-02,69
2008-03,72
2008-04,67
2008-05,56
2008-06,57
2008-07,52
2008-08,49
2008-09,55
2008-10,52
2008-11,49
2008-12,73
2009-01,81
2009-02,72
2009-03,77
2009-04,72
2009-05,56
2009-06,57
2009-07,56
2009-08,49
2009-09,48
2009-10,47
2009-11,41
2009-12,37
2010-01,45
2010-02,48
2010-03,49
2010-04,47
2010-05,43
2010-06,43
2010-07,48
2010-08,50
2010-09,43
2010-10,43
2010-11,40
2010-12,34
2011-01,42
2011-02,39
2011-03,39
2011-04,36
2011-05,35
2011-06,37
2011-07,37
2011-08,43
2011-09,40
2011-10,40
2011-11,36
2011-12,33
2012-01,43
2012-02,43
2012-03,41
2012-04,40
2012-05,39
2012-06,41
2012-07,40
2012-08,37
2012-09,39
2012-10,38
2012-11,34
2012-12,29
2013-01,42
2013-02,40
2013-03,40
2013-04,39
2013-05,38
2013-06,40
2013-07,40
2013-08,34
2013-09,36
2013-10,35
2013-11,29
2013-12,27
2014-01,37
2014-02,37
2014-03,37
2014-04,36
2014-05,34
2014-06,33
2014-07,34
2014-08,32
2014-09,30
2014-10,32
2014-11,27
2014-12,25
2015-01,38
2015-02,38
2015-03,38
2015-04,37
2015-05,35
2015-06,34
2015-07,36
2015-08,36
2015-09,31
2015-10,31
2015-11,27
2015-12,27
2016-01,33
2016-02,38
2016-03,35
2016-04,35
2016-05,33
2016-06,31
2016-07,36
2016-08,35
2016-09,32
2016-10,31
2016-11,30
2016-12,27
2017-01,35
2017-02,33
2017-03,34
2017-04,34
2017-05,33
2017-06,33
2017-07,32
2017-08,35
2017-09,33
2017-10,32
2017-11,31
2017-12,28
2018-01,37
2018-02,36
2018-03,36
2018-04,35
2018-05,34
2018-06,34
2018-07,33
2018-08,35
2018-09,30
2018-10,30
2018-11,28
2018-12,28
2019-01,37
2019-02,35
2019-03,36
2019-04,37
2019-05,35
2019-06,38
2019-07,39
2019-08,42
2019-09,38
2019-10,36
2019-11,33
2019-12,30
2020-01,40
2020-02,44
2020-03,70
2020-04,48
2020-05,46
2020-06,50
2020-07,51
2020-08,49
2020-09,44
2020-10,41
2020-11,39
2020-12,35
2021-01,42
2021-02,44
2021-03,45
2021-04,40
2021-05,37
2021-06,34
2021-07,38
2021-08,35
2021-09,35
2021-10,33
2021-11,31
2021-12,32
2022-01,38
2022-02,37
2022-03,38
2022-04,37
2022-05,34
2022-06,37
2022-07,37
2022-08,35
2022-09,35
2022-10,36
2022-11,31
2022-12,28
