Category: All categories

Month,Refinance: (Worldwide)
2004-01,31
2004-02,34
2004-03,40
2004-04,29
2004-05,20
2004-06,22
2004-07,20
2004-08,21
2004-09,21
2004-10,19
2004-11,21
2004-12,19
2005-01,24
2005-02,25
2005-03,21
2005-04,22
2005-05,24
2005-06,29
2005-07,27
2005-08,28
2005-09,22
2005-10,20
2005-11,18
2005-12,27
2006-01,31
2006-02,26
2006-03,26
2006-04,27
2006-05,30
2006-06,36
2006-07,39
2006-08,31
2006-09,29
2006-10,32
2006-11,27
2006-12,30
2007-01,35
2007-02,43
2007-03,36
2007-04,35
2007-05,38
2007-06,34
2007-07,36
2007-08,34
2007-09,28
2007-10,25
2007-11,21
2007-12,18
2008-01,45
2008-02,35
2008-03,31
2008-04,25
2008-05,22
2008-06,19
2008-07,20
2008-08,19
2008-09,20
2008-10,20
2008-11,18
2008-12,58
2009-01,57
2009-02,45
2009-03,59
2009-04,56
2009-05,33
2009-06,29
2009-07,28
2009-08,27
2009-09,24
2009-10,26
2009-11,24
2009-12,22
2010-01,22
2010-02,23
2010-03,22
2010-04,21
2010-05,21
2010-06,23
2010-07,34
2010-08,42
2010-09,31
2010-10,36
2010-11,27
2010-12,21
2011-01,22
2011-02,17
2011-03,17
2011-04,16
2011-05,17
2011-06,18
2011-07,17
2011-08,31
2011-09,29
2011-10,36
2011-11,26
2011-12,23
2012-01,33
2012-02,33
2012-03,28
2012-04,23
2012-05,26
2012-06,32
2012-07,34
2012-08,29
2012-09,30
2012-10,30
2012-11,22
2012-12,19
2013-01,27
2013-02,26
2013-03,25
2013-04,25
2013-05,23
2013-06,19
2013-07,16
2013-08,14
2013-09,13
2013-10,14
2013-11,11
2013-12,13
2014-01,14
2014-02,13
2014-03,13
2014-04,14
2014-05,13
2014-06,15
2014-07,15
2014-08,15
2014-09,13
2014-10,17
2014-11,13
2014-12,13
2015-01,22
2015-02,22
2015-03,21
2015-04,20
2015-05,18
2015-06,17
2015-07,19
2015-08,19
2015-09,19
2015-10,17
2015-11,15
2015-12,14
2016-01,18
2016-02,21
2016-03,21
2016-04,21
2016-05,21
2016-06,23
2016-07,26
2016-08,25
2016-09,24
2016-10,23
2016-11,21
2016-12,17
2017-01,21
2017-02,21
2017-03,20
2017-04,20
2017-05,20
2017-06,23
2017-07,22
2017-08,24
2017-09,23
2017-10,22
2017-11,21
2017-12,20
2018-01,21
2018-02,22
2018-03,21
2018-04,21
2018-05,21
2018-06,21
2018-07,21
2018-08,22
2018-09,19
2018-10,19
2018-11,18
2018-12,19
2019-01,23
2019-02,24
2019-03,26
2019-04,26
2019-05,26
2019-06,32
2019-07,34
2019-08,46
2019-09,38
2019-10,35
2019-11,31
2019-12,29
2020-01,38
2020-02,42
2020-03,100
2020-04,61
2020-05,56
2020-06,55
2020-07,67
2020-08,63
2020-09,53
2020-10,47
2020-11,44
2020-12,44
2021-01,50
2021-02,49
2021-03,44
2021-04,42
2021-05,40
2021-06,40
2021-07,42
2021-08,41
2021-09,38
2021-10,34
2021-11,37
2021-12,32
2022-01,33
2022-02,32
2022-03,31
2022-04,27
2022-05,22
2022-06,23
2022-07,23
2022-08,22
2022-09,22
2022-10,20
2022-11,18
2022-12,16
