Category: All categories

Month,Shortage: (Worldwide)
2004-01,16
2004-02,25
2004-03,31
2004-04,29
2004-05,24
2004-06,21
2004-07,15
2004-08,18
2004-09,28
2004-10,26
2004-11,25
2004-12,17
2005-01,23
2005-02,21
2005-03,26
2005-04,25
2005-05,24
2005-06,25
2005-07,18
2005-08,20
2005-09,26
2005-10,25
2005-11,26
2005-12,15
2006-01,22
2006-02,25
2006-03,25
2006-04,22
2006-05,24
2006-06,22
2006-07,16
2006-08,20
2006-09,28
2006-10,21
2006-11,22
2006-12,18
2007-01,19
2007-02,24
2007-03,26
2007-04,23
2007-05,25
2007-06,20
2007-07,16
2007-08,23
2007-09,27
2007-10,29
2007-11,26
2007-12,19
2008-01,21
2008-02,25
2008-03,24
2008-04,30
2008-05,29
2008-06,24
2008-07,18
2008-08,21
2008-09,27
2008-10,26
2008-11,23
2008-12,16
2009-01,20
2009-02,26
2009-03,26
2009-04,24
2009-05,24
2009-06,22
2009-07,17
2009-08,24
2009-09,31
2009-10,28
2009-11,28
2009-12,19
2010-01,24
2010-02,26
2010-03,27
2010-04,26
2010-05,25
2010-06,21
2010-07,19
2010-08,23
2010-09,31
2010-10,27
2010-11,26
2010-12,20
2011-01,25
2011-02,27
2011-03,29
2011-04,25
2011-05,25
2011-06,26
2011-07,20
2011-08,24
2011-09,32
2011-10,32
2011-11,29
2011-12,23
2012-01,25
2012-02,30
2012-03,29
2012-04,28
2012-05,28
2012-06,25
2012-07,22
2012-08,27
2012-09,36
2012-10,30
2012-11,28
2012-12,21
2013-01,27
2013-02,29
2013-03,28
2013-04,28
2013-05,28
2013-06,26
2013-07,22
2013-08,28
2013-09,38
2013-10,31
2013-11,29
2013-12,22
2014-01,28
2014-02,34
2014-03,33
2014-04,25
2014-05,32
2014-06,26
2014-07,24
2014-08,38
2014-09,53
2014-10,38
2014-11,39
2014-12,26
2015-01,32
2015-02,36
2015-03,38
2015-04,36
2015-05,41
2015-06,36
2015-07,27
2015-08,38
2015-09,50
2015-10,40
2015-11,38
2015-12,25
2016-01,34
2016-02,39
2016-03,37
2016-04,40
2016-05,37
2016-06,42
2016-07,39
2016-08,46
2016-09,52
2016-10,40
2016-11,35
2016-12,30
2017-01,43
2017-02,45
2017-03,48
2017-04,40
2017-05,42
2017-06,38
2017-07,28
2017-08,45
2017-09,54
2017-10,45
2017-11,43
2017-12,35
2018-01,48
2018-02,47
2018-03,49
2018-04,41
2018-05,44
2018-06,41
2018-07,36
2018-08,49
2018-09,56
2018-10,49
2018-11,45
2018-12,36
2019-01,51
2019-02,44
2019-03,47
2019-04,42
2019-05,45
2019-06,49
2019-07,41
2019-08,55
2019-09,59
2019-10,49
2019-11,45
2019-12,34
2020-01,50
2020-02,51
2020-03,63
2020-04,58
2020-05,49
2020-06,48
2020-07,40
2020-08,62
2020-09,83
2020-10,68
2020-11,52
2020-12,49
2021-01,68
2021-02,64
2021-03,76
2021-04,60
2021-05,62
2021-06,61
2021-07,47
2021-08,67
2021-09,78
2021-10,70
2021-11,60
2021-12,47
2022-01,70
2022-02,87
2022-03,99
2022-04,75
2022-05,78
2022-06,72
2022-07,56
2022-08,86
2022-09,100
2022-10,78
2022-11,71
2022-12,75
