Category: All categories

Month,Stock market bubble: (Worldwide)
2006-12,13
2007-01,19
2007-02,20
2007-03,20
2007-04,33
2007-05,66
2007-06,47
2007-07,29
2007-08,28
2007-09,29
2007-10,40
2007-11,32
2007-12,22
2008-01,23
2008-02,22
2008-03,16
2008-04,24
2008-05,24
2008-06,13
2008-07,24
2008-08,7
2008-09,0
2008-10,22
2008-11,9
2008-12,14
2009-01,10
2009-02,3
2009-03,18
2009-04,9
2009-05,8
2009-06,7
2009-07,9
2009-08,10
2009-09,17
2009-10,13
2009-11,17
2009-12,7
2010-01,13
2010-02,10
2010-03,10
2010-04,13
2010-05,5
2010-06,9
2010-07,5
2010-08,6
2010-09,7
2010-10,10
2010-11,10
2010-12,6
2011-01,4
2011-02,8
2011-03,11
2011-04,11
2011-05,7
2011-06,6
2011-07,2
2011-08,7
2011-09,6
2011-10,8
2011-11,8
2011-12,5
2012-01,3
2012-02,8
2012-03,8
2012-04,5
2012-05,6
2012-06,4
2012-07,2
2012-08,4
2012-09,3
2012-10,6
2012-11,5
2012-12,3
2013-01,6
2013-02,6
2013-03,11
2013-04,11
2013-05,13
2013-06,6
2013-07,8
2013-08,7
2013-09,7
2013-10,9
2013-11,21
2013-12,20
2014-01,12
2014-02,13
2014-03,18
2014-04,15
2014-05,15
2014-06,8
2014-07,16
2014-08,9
2014-09,13
2014-10,9
2014-11,12
2014-12,11
2015-01,7
2015-02,12
2015-03,10
2015-04,15
2015-05,13
2015-06,20
2015-07,24
2015-08,12
2015-09,11
2015-10,6
2015-11,7
2015-12,4
2016-01,9
2016-02,8
2016-03,6
2016-04,9
2016-05,7
2016-06,6
2016-07,10
2016-08,10
2016-09,8
2016-10,8
2016-11,14
2016-12,12
2017-01,9
2017-02,13
2017-03,17
2017-04,11
2017-05,11
2017-06,12
2017-07,11
2017-08,12
2017-09,12
2017-10,16
2017-11,20
2017-12,30
2018-01,32
2018-02,19
2018-03,11
2018-04,9
2018-05,7
2018-06,9
2018-07,10
2018-08,8
2018-09,9
2018-10,12
2018-11,8
2018-12,8
2019-01,6
2019-02,5
2019-03,6
2019-04,7
2019-05,7
2019-06,6
2019-07,7
2019-08,6
2019-09,6
2019-10,6
2019-11,11
2019-12,11
2020-01,13
2020-02,18
2020-03,10
2020-04,11
2020-05,11
2020-06,29
2020-07,42
2020-08,41
2020-09,24
2020-10,15
2020-11,23
2020-12,30
2021-01,100
2021-02,78
2021-03,40
2021-04,37
2021-05,31
2021-06,32
2021-07,25
2021-08,22
2021-09,18
2021-10,19
2021-11,23
2021-12,19
2022-01,24
2022-02,17
2022-03,10
2022-04,11
2022-05,13
2022-06,9
2022-07,7
2022-08,8
2022-09,10
2022-10,5
2022-11,6
2022-12,8
