Category: All categories

Month,Treasury: (Worldwide)
2006-12,82
2007-01,85
2007-02,71
2007-03,82
2007-04,79
2007-05,78
2007-06,85
2007-07,78
2007-08,78
2007-09,72
2007-10,75
2007-11,79
2007-12,80
2008-01,87
2008-02,64
2008-03,86
2008-04,80
2008-05,81
2008-06,80
2008-07,80
2008-08,72
2008-09,85
2008-10,98
2008-11,93
2008-12,88
2009-01,78
2009-02,100
2009-03,89
2009-04,83
2009-05,81
2009-06,80
2009-07,70
2009-08,63
2009-09,70
2009-10,70
2009-11,72
2009-12,76
2010-01,79
2010-02,63
2010-03,78
2010-04,69
2010-05,72
2010-06,70
2010-07,63
2010-08,60
2010-09,61
2010-10,60
2010-11,62
2010-12,58
2011-01,61
2011-02,53
2011-03,63
2011-04,57
2011-05,58
2011-06,61
2011-07,57
2011-08,56
2011-09,54
2011-10,54
2011-11,57
2011-12,57
2012-01,53
2012-02,60
2012-03,66
2012-04,56
2012-05,54
2012-06,54
2012-07,54
2012-08,45
2012-09,43
2012-10,43
2012-11,42
2012-12,39
2013-01,48
2013-02,45
2013-03,44
2013-04,49
2013-05,44
2013-06,44
2013-07,45
2013-08,38
2013-09,42
2013-10,47
2013-11,42
2013-12,42
2014-01,48
2014-02,46
2014-03,49
2014-04,46
2014-05,45
2014-06,43
2014-07,44
2014-08,39
2014-09,44
2014-10,43
2014-11,41
2014-12,41
2015-01,44
2015-02,45
2015-03,52
2015-04,49
2015-05,45
2015-06,48
2015-07,48
2015-08,44
2015-09,45
2015-10,44
2015-11,46
2015-12,45
2016-01,45
2016-02,49
2016-03,51
2016-04,48
2016-05,46
2016-06,47
2016-07,43
2016-08,41
2016-09,43
2016-10,42
2016-11,44
2016-12,45
2017-01,50
2017-02,48
2017-03,49
2017-04,48
2017-05,48
2017-06,50
2017-07,46
2017-08,51
2017-09,49
2017-10,51
2017-11,53
2017-12,51
2018-01,52
2018-02,56
2018-03,54
2018-04,52
2018-05,50
2018-06,48
2018-07,45
2018-08,44
2018-09,43
2018-10,48
2018-11,45
2018-12,43
2019-01,47
2019-02,49
2019-03,48
2019-04,46
2019-05,43
2019-06,51
2019-07,53
2019-08,46
2019-09,47
2019-10,47
2019-11,44
2019-12,43
2020-01,50
2020-02,50
2020-03,50
2020-04,46
2020-05,41
2020-06,49
2020-07,47
2020-08,42
2020-09,44
2020-10,42
2020-11,40
2020-12,40
2021-01,44
2021-02,42
2021-03,46
2021-04,41
2021-05,37
2021-06,42
2021-07,39
2021-08,35
2021-09,39
2021-10,40
2021-11,39
2021-12,40
2022-01,47
2022-02,51
2022-03,51
2022-04,47
2022-05,43
2022-06,46
2022-07,44
2022-08,39
2022-09,43
2022-10,42
2022-11,41
2022-12,42
